sample	tsne_1	tsne_2	group
setosa_1	-18.5355180575434	-3.61528634604515	setosa
setosa_2	-23.2253136304461	-2.87317330270178	setosa
setosa_3	-23.5018814104932	-4.21892843634819	setosa
setosa_4	-23.7700619742387	-3.72369287833804	setosa
setosa_5	-18.7711308958188	-3.27228825861398	setosa
setosa_6	-15.8975557072318	-4.49435970784738	setosa
setosa_7	-23.4473180778197	-4.6884781354278	setosa
setosa_8	-19.7292618774722	-3.85739242890572	setosa
setosa_9	-24.4595175221962	-3.43880219471912	setosa
setosa_10	-22.6167254551669	-3.19192796090141	setosa
setosa_11	-16.2975938825274	-3.80137530108703	setosa
setosa_12	-21.2547512321506	-3.75644847256619	setosa
setosa_13	-23.5419753520726	-3.16589279639951	setosa
setosa_14	-24.7193023734139	-3.90879801617486	setosa
setosa_15	-15.0631651768266	-4.04077071713141	setosa
setosa_16	-15.0400068455488	-4.49557642209374	setosa
setosa_17	-15.658811981701	-4.14351917763817	setosa
setosa_18	-18.430670541693	-3.95145820134751	setosa
setosa_19	-15.5288646590764	-3.67530085414987	setosa
setosa_20	-16.8207088931761	-4.72694184513737	setosa
setosa_21	-17.0368488095861	-3.12942573513833	setosa
setosa_22	-17.3030737382286	-4.67279320386585	setosa
setosa_23	-23.1186358113354	-5.13988961297862	setosa
setosa_24	-19.3567566981256	-4.94716320431807	setosa
setosa_25	-21.1508045627136	-3.57238037902933	setosa
setosa_26	-22.6357426759471	-2.78985029046578	setosa
setosa_27	-19.4610655296022	-4.62687497046554	setosa
setosa_28	-17.7204117415106	-3.71406846108657	setosa
setosa_29	-18.0569307252681	-3.37581050410796	setosa
setosa_30	-22.7500993561855	-3.90906859477876	setosa
setosa_31	-22.7016979955765	-3.48542002957928	setosa
setosa_32	-17.0551216648036	-3.18006348219486	setosa
setosa_33	-15.6812082400358	-4.89397161623224	setosa
setosa_34	-15.2031018046414	-4.42598603217608	setosa
setosa_35	-22.5456696873191	-3.31986769600655	setosa
setosa_36	-21.7577438988371	-4.36249586544282	setosa
setosa_37	-16.401738193908	-3.19621006613572	setosa
setosa_38	-19.2991018623665	-3.07402711967116	setosa
setosa_39	-24.5038029356845	-3.83761670079919	setosa
setosa_40	-19.1146822495916	-3.90188330291307	setosa
setosa_41	-19.2522232050554	-3.40616216498246	setosa
setosa_42	-24.5263133754552	-2.99341833691557	setosa
setosa_43	-24.2848516593582	-4.29758989841972	setosa
setosa_44	-18.9084914590451	-5.05550053426422	setosa
setosa_45	-16.6805969983801	-5.28992108301533	setosa
setosa_46	-23.6094436430575	-3.14725819535161	setosa
setosa_47	-16.6440325559554	-4.84273458428045	setosa
setosa_48	-23.7688159853089	-4.16528515443464	setosa
setosa_49	-16.5827298880233	-4.03891787377131	setosa
setosa_50	-20.3377461933696	-3.80107617126364	setosa
versicolor_51	13.1627801933521	6.47885954738709	versicolor
versicolor_52	11.5839986516682	6.23275074814393	versicolor
versicolor_53	13.266257826389	6.13768541152322	versicolor
versicolor_54	3.92565939188033	13.2384397550844	versicolor
versicolor_55	12.1825805635392	6.05455223645929	versicolor
versicolor_56	6.4027676283086	11.893059358287	versicolor
versicolor_57	11.2483323437775	5.58460117016145	versicolor
versicolor_58	2.90517566869245	14.4595035602782	versicolor
versicolor_59	12.3756788180858	6.37122793689478	versicolor
versicolor_60	4.20174594597595	12.6552705052343	versicolor
versicolor_61	2.84167892519671	14.0894692158281	versicolor
versicolor_62	6.92104043505778	12.1468904825705	versicolor
versicolor_63	3.34210146991984	13.3319593726409	versicolor
versicolor_64	10.5177525539477	6.48272722656872	versicolor
versicolor_65	4.50821642376884	14.5066003198166	versicolor
versicolor_66	12.4794043790579	6.79807954843898	versicolor
versicolor_67	6.55574984844798	11.6403645488324	versicolor
versicolor_68	5.37785854456078	13.6737058978442	versicolor
versicolor_69	9.28540360576608	6.31657165100807	versicolor
